veg_or_nonveg,Taste,Prep Time,Budget,Type,Output
Vegetarian,Salty,30 mins,Money does not matter to me,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Cheese Paneer Butter Masala"
Vegetarian,Salty,1 hour,Low budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Salty,1 hour,Low budget,Light Meal,"Idli, Pulav, Roti and Sabzi"
Vegetarian,Salty,1 hour,Low budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi"
Vegetarian,Salty,1 hour,Avg budget,Snacks,"Sandwitch,  Samosa, Dhokla, Vada pav"
Vegetarian,Salty,1 hour,Avg budget,Light Meal,"Pulao, Aloo Paratha, Baingan Bhartha, Malai Kofta"
Vegetarian,Salty,1 hour,Avg budget,Heavy Meal,"Palak Paneer, Chana Masala,, Paneer Butter Masala"
Vegetarian,Salty,1 hour,Money does not matter to me,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Salty,1 hour,Money does not matter to me,Light Meal,"Idli, Upma, Masala Dosa, Roti and Sabzi"
Vegetarian,Salty,1 hour,Money does not matter to me,Heavy Meal,"Chana Masala, Aloo Gobhi, Paneer Butter Masala, Shahi Paneer"
Vegetarian,Umami,10Mins,Low budget,Snacks,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada, Dhokla"
Vegetarian,Umami,10Mins,Low budget,Light Meal,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada"
Vegetarian,Umami,10Mins,Low budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala"
Vegetarian,Umami,10Mins,Avg budget,Snacks,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada"
Vegetarian,Umami,10Mins,Avg budget,Light Meal,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada "
Vegetarian,Umami,10Mins,Avg budget,Heavy Meal,"Paneer Butter Masala, Aloo Methi, Chana Dal, Aloo Methi, Matar Paneer"
Vegetarian,Umami,10Mins,Money does not matter to me,Snacks,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada"
Vegetarian,Umami,10Mins,Money does not matter to me,Light Meal,"Aloo Tikki Chaat, Samosa Chaat, Bhel Puri, Dahi Vada "
Vegetarian,Umami,10Mins,Money does not matter to me,Heavy Meal,"Malai Kofta, Paneer Makhani, Vegetable Korma, Baingan Bharta"
Vegetarian,Umami,1520 Mins,Low budget,Snacks,"Aloo Tikki, Samosa, Dahi Vada, Dhokla"
Vegetarian,Umami,1520 Mins,Low budget,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,1520 Mins,Low budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala "
Vegetarian,Umami,1520 Mins,Avg budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,1520 Mins,Avg budget,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,1520 Mins,Avg budget,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala "
Vegetarian,Umami,1520 Mins,Money does not matter to me,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,1520 Mins,Money does not matter to me,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,1520 Mins,Money does not matter to me,Heavy Meal,"Palak Paneer, Chana Masala, Aloo Gobhi, Paneer Butter Masala "
Vegetarian,Umami,30 mins,Low budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,30 mins,Low budget,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,30 mins,Low budget,Heavy Meal,"Paneer Butter Masala, Aloo Methi, Chana Dal, Aloo Methi, Matar Paneer"
Vegetarian,Umami,30 mins,Avg budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,30 mins,Avg budget,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,30 mins,Avg budget,Heavy Meal,"Paneer Butter Masala, Aloo Methi, Chana Dal, Aloo Methi, Matar Paneer"
Vegetarian,Umami,30 mins,Money does not matter to me,Snacks,"Samosa, Dhokla, Kachori, Aloo Tikki"
Vegetarian,Umami,30 mins,Money does not matter to me,Light Meal,"Aloo Tikki Sandwich, Samosa Chaat, Dahi Aloo, Dhokla with chutney"
Vegetarian,Umami,30 mins,Money does not matter to me,Heavy Meal,"Pulav, veg biryani Gujarati thali, Punjabi thali"
Vegetarian,Umami,1 hour,Low budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,1 hour,Low budget,Light Meal,"Idli, Dhosa, frankie, Sandwich"
Vegetarian,Umami,1 hour,Low budget,Heavy Meal,"Pav Bhaji, Chole bhature, Biryani, Pizza"
Vegetarian,Umami,1 hour,Avg budget,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,1 hour,Avg budget,Light Meal,"Idli, Dhosa, frankie Sandwich"
Vegetarian,Umami,1 hour,Avg budget,Heavy Meal,"Pav Bhaji, Chole bhature, Biryani, Pizza"
Vegetarian,Umami,1 hour,Money does not matter to me,Snacks,"Aloo Tikki, Samosa, Dhokla, Vada pav"
Vegetarian,Umami,1 hour,Money does not matter to me,Light Meal,"Idli, Dhosa, frankie, Sandwich"
Vegetarian,Umami,1 hour,Money does not matter to me,Heavy Meal,"Pulav, veg biryani Gujarati thali, Punjabi thali"
Vegetarian,Sweet,10Mins,Low budget,Snacks,"Badam Shake, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,10Mins,Low budget,Light Meal,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,10Mins,Low budget,Heavy Meal,"Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,10Mins,Avg budget,Snacks,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,10Mins,Avg budget,Light Meal,"Kulfi Falooda, Ras Malai, Kulfi, Cake, Gajar Ka Halwa"
Vegetarian,Sweet,10Mins,Avg budget,Heavy Meal,"Kulfi Falooda, Ras Malai, Dodh Pak"
Vegetarian,Sweet,10Mins,Money does not matter to me,Snacks,"Jalebi, Kulfi, Ras Malai, Browne"
Vegetarian,Sweet,10Mins,Money does not matter to me,Light Meal,"Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,10Mins,Money does not matter to me,Heavy Meal,"Cake , Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1520 Mins,Low budget,Snacks,Ice Cream
Vegetarian,Sweet,1520 Mins,Low budget,Light Meal,"Poha, Sabudana Khichdi, Aloo Bhujia, Dosa"
Vegetarian,Sweet,1520 Mins,Low budget,Heavy Meal,"Chana Masala, Palak Paneer, Aloo Gobi, Malai Kofta"
Vegetarian,Sweet,1520 Mins,Avg budget,Snacks,"Samosa, Aloo Tikki Chaat, Pani Puri, Vada Pav"
Vegetarian,Sweet,1520 Mins,Avg budget,Light Meal,"Poha, Sabudana Khichdi, Aloo Bhujia, Idli"
Vegetarian,Sweet,1520 Mins,Avg budget,Heavy Meal,"Samosas, Chana Masala, Paneer Tikka, Aloo Gobi"
Vegetarian,Sweet,1520 Mins,Money does not matter to me,Snacks,"Pav Bhaji, Vada Pav, Samosas, Aloo Tikki"
Vegetarian,Sweet,1520 Mins,Money does not matter to me,Light Meal,"Sambar Rice, Idli Sambar, Masala Dosa, Uttapam"
Vegetarian,Sweet,1520 Mins,Money does not matter to me,Heavy Meal,"Palak Paneer, Chana Masala, Pulao, Biryani"
Vegetarian,Sweet,30 mins,Low budget,Snacks,"Badam Shake, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,30 mins,Low budget,Light Meal,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,30 mins,Low budget,Heavy Meal,"Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,30 mins,Avg budget,Snacks,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,30 mins,Avg budget,Light Meal,"Kulfi Falooda, Ras Malai, Kulfi, Cake"
Vegetarian,Sweet,30 mins,Avg budget,Heavy Meal,"Kulfi Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,30 mins,Money does not matter to me,Snacks,"Gulab Jamun, Jalebi, Kulfi, Ras Malai"
Vegetarian,Sweet,30 mins,Money does not matter to me,Light Meal,"Kulfi Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,30 mins,Money does not matter to me,Heavy Meal,"Cake , Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1 hour,Low budget,Snacks,"Badam Shake, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1 hour,Low budget,Light Meal,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,1 hour,Low budget,Heavy Meal,"Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1 hour,Avg budget,Snacks,"Gulab Jamun, Jalebi, Ras Malai, Rasgulla"
Vegetarian,Sweet,1 hour,Avg budget,Light Meal,"Kulfi Falooda, Ras Malai, Kulfi, Cake"
Vegetarian,Sweet,1 hour,Avg budget,Heavy Meal,"Kulfi Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1 hour,Money does not matter to me,Snacks,"Gulab Jamun, Jalebi, Kulfi, Ras Malai"
Vegetarian,Sweet,1 hour,Money does not matter to me,Light Meal,"Kulfi Falooda, Ras Malai, Kulfi, Rasgulla"
Vegetarian,Sweet,1 hour,Money does not matter to me,Heavy Meal,"Cake , Ras Malai, Kulfi, Rasgulla"
Vegetarian,Spicy,10Mins,Low budget,Snacks,"Aloo Tikki Chaat, Samosa, Pani Puri, Masala Vada"
Vegetarian,Spicy,10Mins,Low budget,Light Meal,"Poha, Sabudana Khichdi, Aloo Bhujia, Dosa"
Vegetarian,Spicy,10Mins,Low budget,Heavy Meal,"Chana Masala, Palak Paneer, Aloo Gobi, Malai Kofta"
Vegetarian,Spicy,10Mins,Avg budget,Snacks,"Samosa, Aloo Tikki Chaat, Pani Puri, Vada Pav"
Vegetarian,Spicy,10Mins,Avg budget,Light Meal,"Poha, Sabudana Khichdi, Aloo Bhujia, Idli"
Vegetarian,Spicy,10Mins,Avg budget,Heavy Meal,"Samosas, Chana Masala, Paneer Tikka, Aloo Gobi"
Vegetarian,Spicy,10Mins,Money does not matter to me,Snacks,"Pav Bhaji, Vada Pav, Samosas, Aloo Tikki"
Vegetarian,Spicy,10Mins,Money does not matter to me,Light Meal,"Sambar Rice, Idli Sambar, Masala Dosa, Uttapam"
Vegetarian,Spicy,10Mins,Money does not matter to me,Heavy Meal,"Palak Paneer, Chana Masala, Pulao, Biryani"
Vegetarian,Spicy,1520 Mins,Low budget,Snacks,"Samosas, Aloo Tikki, Pani Puri, Dhokla"
Vegetarian,Spicy,1520 Mins,Low budget,Light Meal,"Aloo Gobi, Chana Masala, Sambar Rice, Idli Sambar"
Vegetarian,Spicy,1520 Mins,Low budget,Heavy Meal,"Palak Paneer, Chana Masala, Pulao, Biryani"
Vegetarian,Spicy,1520 Mins,Avg budget,Snacks,"Samosas, Aloo Tikki, Pani Puri, Dhokla"
Vegetarian,Spicy,1520 Mins,Avg budget,Light Meal,"Aloo Gobi, Chana Masala, Sambar Rice, Idli Sambar"
Vegetarian,Spicy,1520 Mins,Avg budget,Heavy Meal,"Palak Paneer, Chana Masala, Pulao, Biryani"
Vegetarian,Spicy,1520 Mins,Money does not matter to me,Snacks,"Samosas, Aloo Tikki, Pani Puri, Dhokla"
Vegetarian,Spicy,1520 Mins,Money does not matter to me,Light Meal,"Aloo Gobi, Chana Masala, Sambar Rice, Idli"
Vegetarian,Spicy,1520 Mins,Money does not matter to me,Heavy Meal," Palak Paneer, Chana Masala, Baingan Bharta, Aloo Gobi"
Vegetarian,Spicy,30 mins,Low budget,Snacks,"Samosa, Aloo Tikki, Dhokla, Bhel Puri"
Vegetarian,Spicy,30 mins,Low budget,Light Meal,"Dahi Vada, Aloo Tikki Chaat, Aloo Dhokla, Medu Vada"
Vegetarian,Spicy,30 mins,Low budget,Heavy Meal,"Vada Pav, Aloo Samosa, Aloo Kachori, Idli Sambar"
Vegetarian,Spicy,30 mins,Avg budget,Snacks,"Masala Dosa, Paneer Stuffed Dosa, Paneer Uttapam, Paneer Masala Dosa"
Vegetarian,Spicy,30 mins,Avg budget,Light Meal,"Paneer Tikka Roll, Paneer Kati Roll, Paneer Frankie, Paneer wrap"
Vegetarian,Spicy,30 mins,Avg budget,Heavy Meal,"Paneer Kathi Roll, Paneer Tawa Masala, Paneer Butter Masala, Paneer Korma"
Vegetarian,Spicy,30 mins,Money does not matter to me,Snacks,"Dahi Bhalla, Aloo Tikki Chaat, Samosa Chaat, Aloo Chaat"
Vegetarian,Spicy,30 mins,Money does not matter to me,Light Meal," Sandwich, Pizza, Paneer Burger, Paneer Tikka Wrap"
Vegetarian,Spicy,30 mins,Money does not matter to me,Heavy Meal,"Paneer Chilly, Paneer 65, Manchurian, Paneer Tikka Sizzler"
Vegetarian,Spicy,1 hour,Low budget,Snacks,"Dhokla, Khandvi, Thepla, Sambar Vada"
Vegetarian,Spicy,1 hour,Low budget,Light Meal,"Aloo Tikki Chole, Samosa Chole, Pav Bhaji, Aloo Puri"
Vegetarian,Spicy,1 hour,Low budget,Heavy Meal,"Paneer Butter Masala, Poha, Sabudana Vada, Aloo Tikki"
Vegetarian,Spicy,1 hour,Avg budget,Snacks,"Paneer Tikka Roll, Paneer Kati Roll, Paneer Frankie, Paneer wrap"
Vegetarian,Spicy,1 hour,Avg budget,Light Meal,"Masala Dosa, Paneer Stuffed Dosa, Paneer Uttapam, Paneer Masala Dosa"
Vegetarian,Spicy,1 hour,Avg budget,Heavy Meal,"Paneer Tikka, Paneer Pakoda, Paneer Tikka Masala, Paneer Butter Masala"
Vegetarian,Spicy,1 hour,Money does not matter to me,Snacks,"Pulao, Fried Rice, Noodles, Pasta"
Vegetarian,Spicy,1 hour,Money does not matter to me,Light Meal,"Biryani,Kofta Curry, Paneer Pasanda, Paneer Korma"
Vegetarian,Spicy,1 hour,Money does not matter to me,Heavy Meal,"Paneer Makhani, Paneer Butter Masala, Paneer Lababdar, Paneer Tikka Masala"
Vegetarian,Sour,10Mins,Low budget,Snacks,"Bhel Puri, Aloo Chaat, Aloo Tikki Chaat, Papri Chaat"
Vegetarian,Sour,10Mins,Low budget,Light Meal,"Idli, Medu Vada, Dahi Vada, Pani Puri"
Vegetarian,Sour,10Mins,Low budget,Heavy Meal,"Kachori, Samosa, Aloo Tikki, Aloo Bhaji"
Vegetarian,Sour,10Mins,Avg budget,Snacks," Bhel Puri with tamarind chutney, Aloo Tikki Chaat, Aloo Dhokla, Medu Vada with tamarind chutney"
Vegetarian,Sour,10Mins,Avg budget,Light Meal,"Pani Puri, Bhel Puri, Dahi puri, Dhokla with tamarind chutney"
Vegetarian,Sour,10Mins,Avg budget,Heavy Meal," Kachori, Samosa, Aloo Tikki, Aloo Bindi"
Vegetarian,Sour,10Mins,Money does not matter to me,Snacks,"Dahi Bhalla, Dahi Puri, Dahi Kachori, Dahi Samosa"
Vegetarian,Sour,10Mins,Money does not matter to me,Light Meal,"Pulao,Biryani, Lemon Fried Rice, Noodles"
Vegetarian,Sour,10Mins,Money does not matter to me,Heavy Meal,"Lemon Rice, Idli,  Dosa,  Uttapam"
Vegetarian,Sour,1520 Mins,Low budget,Snacks,"Tamarind Rice, Tamarind Idli,Dosa, Uttapam"
Vegetarian,Sour,1520 Mins,Low budget,Light Meal,"Idli, Dosa, Uttapam, Vada"
Vegetarian,Sour,1520 Mins,Low budget,Heavy Meal,"Paneer Tikka, Tandoori Chicken, Biryani, Butter Chicken"
Vegetarian,Sour,1520 Mins,Avg budget,Snacks,"Sabudana Khichadi, Upma, Medu Vada, Dhokla"
Vegetarian,Sour,1520 Mins,Avg budget,Light Meal,"Chole Bhature, Aloo Tikki, Samosa, Kachori"
Vegetarian,Sour,1520 Mins,Avg budget,Heavy Meal,"Amritsari Chole Kulcha, Paneer Butter Masala, Aloo Gobi, Palak Paneer"
Vegetarian,Sour,1520 Mins,Money does not matter to me,Snacks,"Dum Aloo, Shahi Paneer, Malai Kofta, Baingan Bhartha"
Vegetarian,Sour,1520 Mins,Money does not matter to me,Light Meal,"Vegetable Biryani, Pulao, Navratan Korma, Kadai Paneer"
Vegetarian,Sour,1520 Mins,Money does not matter to me,Heavy Meal,"Mix Veg Curry, Aloo Matar, Baingan Bharta, Chana Masala"
Vegetarian,Sour,30 mins,Low budget,Snacks,"Dahi Vada, Bhel Puri, Pani Puri, Aloo Tikki"
Vegetarian,Sour,30 mins,Low budget,Light Meal,"Masala Vada, Idli Sambar, Uttapam, Medu Vada"
Vegetarian,Sour,30 mins,Low budget,Heavy Meal,"Soup, Aloo Chaat, Mysoure Masala Dosa"
Vegetarian,Sour,30 mins,Avg budget,Snacks,"Eggs Rice, Bhel "
Vegetarian,Sour,30 mins,Avg budget,Light Meal,"Masala Dosa, Stuff Gobi Paratha"
Vegetarian,Sour,30 mins,Avg budget,Heavy Meal,"Veg Sandwitch, Nachos with Dip"
Vegetarian,Sour,30 mins,Money does not matter to me,Snacks,"Boil , Suff Sanditch "
Vegetarian,Sour,30 mins,Money does not matter to me,Light Meal,Dabeli 
Vegetarian,Sour,30 mins,Money does not matter to me,Heavy Meal,"Rava Dosa , Gourmet Pizza"
Vegetarian,Sour,1 hour,Low budget,Snacks,paya soup
Vegetarian,Sour,1 hour,Low budget,Light Meal,momos
Vegetarian,Sour,1 hour,Low budget,Heavy Meal,"Aloo Tikki, Mac Maharaja Burger"
Vegetarian,Sour,1 hour,Avg budget,Snacks,Dal Vada
Vegetarian,Sour,1 hour,Avg budget,Light Meal,"Pav Bhaji, Vada Pav, Samosas, Aloo Tikki"
Vegetarian,Sour,1 hour,Avg budget,Heavy Meal,Paneer Pasanda
Vegetarian,Sour,1 hour,Money does not matter to me,Snacks,Muska Bun
Vegetarian,Sour,1 hour,Money does not matter to me,Light Meal,Cheese Chill Chips
Vegetarian,Sour,1 hour,Money does not matter to me,Heavy Meal,"Palak Paneer, Chana Masala, Pulao, Biryani"
nonveg,Salty,10Mins,Low budget,Snacks,Chicken Wings
nonveg,Salty,10Mins,Low budget,Light Meal,Fried Chicken
nonveg,Salty,10Mins,Low budget,Heavy Meal,Chicken 65
nonveg,Salty,10Mins,Avg budget,Snacks,Fish Fry
nonveg,Salty,10Mins,Avg budget,Light Meal,"Mutton Kema, Chicken Soorma"
nonveg,Salty,10Mins,Avg budget,Heavy Meal,Shushi
nonveg,Salty,10Mins,Money does not matter to me,Snacks,"Fried Chicken Kabab, Non Veg Hot Dog"
nonveg,Salty,10Mins,Money does not matter to me,Light Meal,"Steak Tartare, Chicken Kurkure"
nonveg,Salty,10Mins,Money does not matter to me,Heavy Meal,Tandoori Chicken 
nonveg,Salty,1520 Mins,Low budget,Snacks,Fish 65
nonveg,Salty,1520 Mins,Low budget,Light Meal,Tandoori Kabab 
nonveg,Salty,1520 Mins,Low budget,Heavy Meal,Bombil fry
nonveg,Salty,1520 Mins,Avg budget,Snacks,Fish and Chips
nonveg,Salty,1520 Mins,Avg budget,Light Meal,Crispy Fried Calamari
nonveg,Salty,1520 Mins,Avg budget,Heavy Meal,"chicken biryani, chicken tikka masala, chicken fry, butter chicken"
nonveg,Salty,1520 Mins,Money does not matter to me,Snacks,"Mutton Marag, Chicken Leg piece"
nonveg,Salty,1520 Mins,Money does not matter to me,Light Meal,"Hot Chicken Tandoor, Muglai Do Pyaza"
nonveg,Salty,1520 Mins,Money does not matter to me,Heavy Meal,Chicken Koorma
nonveg,Salty,30 mins,Low budget,Snacks,Fried Chicken Sandwich
nonveg,Salty,30 mins,Low budget,Light Meal,"Masala Fish Curry , Chicken Butter Masala"
nonveg,Salty,30 mins,Low budget,Heavy Meal,Fish Tikka Masala
nonveg,Salty,30 mins,Avg budget,Snacks,Jambalaya balls
nonveg,Salty,30 mins,Avg budget,Light Meal,"Butter Chicken, Chilli Fish"
nonveg,Salty,30 mins,Avg budget,Heavy Meal,Kolim Jawla
nonveg,Salty,30 mins,Money does not matter to me,Snacks,Maach Jhol
nonveg,Salty,30 mins,Money does not matter to me,Light Meal,"Chicken Zalzala, Mutton Rara"
nonveg,Salty,30 mins,Money does not matter to me,Heavy Meal,"Fish Pakoda, Chicken Salad, Chicken Hot Dog"
nonveg,Salty,1 hour,Low budget,Snacks,Tangy Chicken Wings
nonveg,Salty,1 hour,Low budget,Light Meal,"Meatballs, Deviled Fish Fry"
nonveg,Salty,1 hour,Low budget,Heavy Meal,"Mini chicken and waffles, Fish Curry Fry"
nonveg,Salty,1 hour,Avg budget,Snacks,Congura Chicken Curry
nonveg,Salty,1 hour,Avg budget,Light Meal,Chettinad Style Chicken Roast Recipe
nonveg,Salty,1 hour,Avg budget,Heavy Meal,Spicy Seafood Stew Casserole With Tomatoes And Lime 
nonveg,Salty,1 hour,Money does not matter to me,Snacks,Chicken Shawarma 
nonveg,Salty,1 hour,Money does not matter to me,Light Meal,Indo Chinese Crispy Chicken Chilli 
nonveg,Salty,1 hour,Money does not matter to me,Heavy Meal,Aar Macher Jhol - Bengali Fish Curry
nonveg,Umami,10Mins,Low budget,Snacks,Fried Wontons
nonveg,Umami,10Mins,Low budget,Light Meal,"Fried dumplings, Fried spring rolls"
nonveg,Umami,10Mins,Low budget,Heavy Meal,Fried chicken with Peri Peri Souce
nonveg,Umami,10Mins,Avg budget,Snacks,Fried chicken nuggets
nonveg,Umami,10Mins,Avg budget,Light Meal,Fried calamari
nonveg,Umami,10Mins,Avg budget,Heavy Meal,Fried shrimp
nonveg,Umami,10Mins,Money does not matter to me,Snacks,"Masala Chicken Nachos , Chicken Wings"
nonveg,Umami,10Mins,Money does not matter to me,Light Meal,"Hot Chicken Soup , Chicken Noodles"
nonveg,Umami,10Mins,Money does not matter to me,Heavy Meal,"Fish Fried Rice, Fish Fried Samosa"
nonveg,Umami,1520 Mins,Low budget,Snacks,Kyat 
nonveg,Umami,1520 Mins,Low budget,Light Meal,Fish Orly
nonveg,Umami,1520 Mins,Low budget,Heavy Meal,Galho
nonveg,Umami,1520 Mins,Avg budget,Snacks,"Chicken Pizza , Fish Pizza"
nonveg,Umami,1520 Mins,Avg budget,Light Meal,"Chicken Curry, Appam and Crab Masala"
nonveg,Umami,1520 Mins,Avg budget,Heavy Meal,Dry Fish Curry
nonveg,Umami,1520 Mins,Money does not matter to me,Snacks,"Fish Roast, Chicken Chips"
nonveg,Umami,1520 Mins,Money does not matter to me,Light Meal,Finger Prawans
nonveg,Umami,1520 Mins,Money does not matter to me,Heavy Meal,"Fish in shredded coconut, Fish Mappas"
nonveg,Umami,30 mins,Low budget,Snacks,"Fish Milee, Golden Fried Prawns "
nonveg,Umami,30 mins,Low budget,Light Meal,Grilled Chicken
nonveg,Umami,30 mins,Low budget,Heavy Meal,"Kappa and Fish Fry, Chicken Noodles"
nonveg,Umami,30 mins,Avg budget,Snacks,"Chicken Pulav, Fish Tikka kabab"
nonveg,Umami,30 mins,Avg budget,Light Meal,Mutton Curry
nonveg,Umami,30 mins,Avg budget,Heavy Meal,Chicken Chettinad
nonveg,Umami,30 mins,Money does not matter to me,Snacks,"Sarson Machhi, Chicken Wings"
nonveg,Umami,30 mins,Money does not matter to me,Light Meal,"Fried soft shell crab, Chicken chilli Dry"
nonveg,Umami,30 mins,Money does not matter to me,Heavy Meal,"Hot Sour Fish Soup, Chicken Biriyani"
nonveg,Umami,1 hour,Low budget,Snacks,Masala Fish Furry
nonveg,Umami,1 hour,Low budget,Light Meal,Crispy pork belly
nonveg,Umami,1 hour,Low budget,Heavy Meal,Butter Chicken
nonveg,Umami,1 hour,Avg budget,Snacks,"Chicken Fried Kabab, Burra Kabab"
nonveg,Umami,1 hour,Avg budget,Light Meal,"Matka Chicken, Fish Whole Fry"
nonveg,Umami,1 hour,Avg budget,Heavy Meal,Mughal Mutton Curry
